IID	SPAD_Shenzhen_2022_Nautural_Booting
WATDE0770	42.1
WATDE0771	44.4
WATDE0773	46.7
WATDE0774	37.2
WATDE0775	32.9
WATDE0776	40.8
WATDE0777	36
WATDE0779	NA
WATDE0780	34.7
WATDE0781	40.5
WATDE0782	39
WATDE0783	38.5
WATDE0785	41.8
WATDE0786	NA
WATDE0788	42.7
WATDE0789	28.3
WATDE0790	37.2
WATDE0791	NA
WATDE0793	41.2
WATDE0794	44.6
WATDE0795	37.8
WATDE0797	46.3
WATDE0798	36.3
WATDE0800	44.5
WATDE0802	31.4
WATDE0803	34.1
WATDE0804	34.8
WATDE0805	30.1
WATDE0807	NA
WATDE0808	39.2
WATDE0810	NA
WATDE0811	35.9
WATDE0812	NA
WATDE0814	41
WATDE0815	NA
WATDE0816	NA
WATDE0817	40.05
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	34.6
WATDE0825	NA
WATDE0826	NA
WATDE0827	42
WATDE0828	NA
WATDE0830	36.5
WATDE0831	35.3
WATDE0833	35.8
WATDE0835	NA
WATDE0836	43.8
WATDE0837	38.8
WATDE0839	37
WATDE0840	NA
WATDE0841	NA
WATDE0843	NA
WATDE0845	36
WATDE0846	NA
WATDE0848	NA
WATDE0850	38
WATDE0851	40.1
WATDE0852	36.3
WATDE0854	NA
WATDE0856	NA
WATDE0857	36.1
WATDE0859	NA
WATDE0861	NA
WATDE0862	37.35
WATDE0863	45.5
WATDE0864	NA
WATDE0865	33.8
WATDE0869	36.5
WATDE0871	NA
WATDE0872	31.8
WATDE0873	35.3
WATDE0874	33.2
WATDE0875	38.4
WATDE0876	42.8
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	37.2
WATDE0883	41.8
WATDE0884	NA
WATDE0887	NA
WATDE0888	NA
WATDE0889	NA
WATDE0890	34.2
WATDE0892	33.6
WATDE0894	17.4
WATDE0895	NA
WATDE0896	39.3
WATDE0898	NA
WATDE0899	43.1
