IID	SplN_Quzhou_2022_Natural_Sterility-Top
WATDE0846	NA
WATDE0848	NA
WATDE0850	0.00
WATDE0851	0.00
WATDE0852	0.67
WATDE0854	0.00
WATDE0856	NA
WATDE0857	0.00
WATDE0859	0.33
WATDE0861	0.00
WATDE0862	0.00
WATDE0863	0.00
WATDE0864	0.00
WATDE0865	0.00
WATDE0869	0.00
WATDE0871	0.00
WATDE0872	0.00
WATDE0873	1.00
WATDE0874	0.33
WATDE0875	0.00
WATDE0876	0.00
WATDE0877	0.00
WATDE0878	0.00
WATDE0879	0.00
WATDE0880	0.00
WATDE0881	0.33
WATDE0882	0.00
WATDE0883	0.00
WATDE0884	0.00
WATDE0887	NA
WATDE0888	0.33
WATDE0889	0.33
WATDE0890	0.00
WATDE0892	0.00
WATDE0894	0.00
WATDE0895	0.00
WATDE0896	NA
WATDE0898	NA
WATDE0899	0.00
WATDE0900	0.33
WATDE0901	0.00
WATDE0902	0.00
WATDE0903	NA
WATDE0904	0.67
WATDE0905	0.33
WATDE0906	0.00
WATDE0907	0.00
WATDE0909	0.00
WATDE0910	0.00
WATDE0911	NA
WATDE0912	0.00
WATDE0913	0.00
WATDE0914	NA
WATDE0915	1.50
WATDE0916	0.00
WATDE0917	0.33
WATDE0918	0.00
WATDE0919	NA
WATDE0920	0.00
WATDE0922	0.00
WATDE0923	0.00
WATDE0924	1.00
WATDE0926	0.00
WATDE0927	0.00
WATDE0928	0.00
WATDE0929	0.00
WATDE0930	0.33
WATDE0932	0.00
WATDE0933	0.00
WATDE0934	0.00
WATDE0935	0.00
WATDE0937	0.00
WATDE0938	0.00
WATDE0939	0.00
WATDE0941	0.00
WATDE0944	0.00
WATDE0945	0.00
WATDE0947	0.33
WATDE0950	0.00
WATDE0951	0.33
WATDE0952	0.33
WATDE0953	0.33
WATDE0954	0.33
WATDE0955	NA
WATDE0957	0.00
WATDE0958	0.67
WATDE0961	0.00
WATDE0963	0.00
WATDE0965	NA
WATDE0966	0.00
WATDE0967	0.00
WATDE0969	1.00
WATDE0970	NA
WATDE0971	NA
WATDE0973	0.00
WATDE0974	0.00
WATDE0975	NA
WATDE0977	0.00
WATDE0978	0.00
WATDE0979	0.00
WATDE0981	0.33
WATDE0982	NA
WATDE0983	0.00
WATDE0984	0.00
WATDE0986	0.00
WATDE0987	0.00
WATDE0989	0.00
WATDE0991	0.00
WATDE0993	0.00
WATDE0995	0.00
WATDE0996	NA
WATDE0997	0.67
WATDE0999	0.00
WATDE1001	0.00
WATDE1002	0.00
WATDE1003	0.00
WATDE1004	0.00
WATDE1005	0.00
WATDE1008	0.00
WATDE1009	0.00
WATDE1010	0.00
WATDE1012	0.00
WATDE1014	0.00
WATDE1016	1.00
WATDE1017	0.00
WATDE1018	NA
WATDE1019	1.67
WATDE1021	0.00
WATDE1023	0.00
WATDE1025	0.33
WATDE1026	0.00
WATDE1027	1.33
WATDE1029	0.00
WATDE1031	0.33
WATDE1032	0.00
WATDE1034	0.00
WATDE1035	0.00
WATDE1037	0.00
WATDE1038	0.00
WATDE1040	0.00
WATDE1042	NA
WATDE1044	0.00
WATDE1046	NA
WATDE1048	0.00
WATDE1049	0.00
WATDE1050	0.00
WATDE1051	0.00
WATDE1052	0.33
WATDE1053	0.00
WATDE1055	0.00
WATDE1056	0.00
WATDE1058	0.00
WATDE1060	0.00
WATDE1061	0.00
WATDE1062	0.00
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	0.00
Wyalkatatchen	NA
Xi19	0.33
Zemon	0.00
Zentos	NA
ability	0.00
avocet	0.00
blitz	0.00
cadenza	NA
captor	0.33
cimcog32	NA
david	0.67
denver	0.00
eagle	0.00
festival	0.00
fidel	1.00
fielder	NA
holster	0.00
lancer	NA
landmark	NA
mace	NA
malacca	0.00
mendel	0.00
mercia	0.67
mina	0.00
paragon	NA
robigus	NA
solstice	0.00
stanley	NA
torch	NA
veritas	0.00
wasp	0.00
weebil	NA
