IID	PH_Kaifeng_2020_Natural
WATDE0950	59.00
WATDE0951	94.00
WATDE0952	84.50
WATDE0953	45.00
WATDE0954	NA
WATDE0955	NA
WATDE0957	86.50
WATDE0958	NA
WATDE0961	103.33
WATDE0963	NA
WATDE0965	NA
WATDE0966	95.00
WATDE0967	84.00
WATDE0969	52.00
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	87.00
WATDE0977	NA
WATDE0978	NA
WATDE0979	NA
WATDE0981	97.00
WATDE0982	NA
WATDE0983	NA
WATDE0984	NA
WATDE0986	83.00
WATDE0987	90.00
WATDE0989	62.67
WATDE0991	NA
WATDE0993	NA
WATDE0995	NA
WATDE0996	70.00
WATDE0997	108.00
WATDE0999	NA
WATDE1001	95.00
WATDE1002	82.50
WATDE1003	NA
WATDE1004	NA
WATDE1005	NA
WATDE1008	NA
WATDE1009	NA
WATDE1010	NA
WATDE1012	91.50
WATDE1014	53.00
WATDE1016	82.50
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	75.00
WATDE1023	75.50
WATDE1025	NA
WATDE1026	NA
WATDE1027	NA
WATDE1029	NA
WATDE1031	NA
WATDE1032	NA
WATDE1034	NA
WATDE1035	NA
WATDE1037	NA
WATDE1038	NA
WATDE1040	69.00
WATDE1042	89.67
WATDE1044	NA
WATDE1046	NA
WATDE1048	NA
WATDE1049	92.00
WATDE1050	91.00
WATDE1051	NA
WATDE1052	NA
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	NA
WATDE1060	NA
WATDE1061	66.00
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	2.00
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
