IID	SPAD_Shenzhen_2022_Nautural_Flowering
WATDE0869	NA
WATDE0871	41.7
WATDE0872	NA
WATDE0873	NA
WATDE0874	NA
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	25
WATDE0889	34.2
WATDE0890	NA
WATDE0892	NA
WATDE0894	NA
WATDE0895	NA
WATDE0896	NA
WATDE0898	NA
WATDE0899	37.4
WATDE0900	NA
WATDE0901	5.2
WATDE0902	42.5
WATDE0903	NA
WATDE0904	35.4
WATDE0905	43.4
WATDE0906	37.7
WATDE0907	41.5
WATDE0909	30.4
WATDE0910	NA
WATDE0911	NA
WATDE0912	NA
WATDE0913	43.6
WATDE0914	NA
WATDE0915	NA
WATDE0916	15.9
WATDE0917	52.6
WATDE0918	NA
WATDE0919	42.6
WATDE0920	NA
WATDE0922	NA
WATDE0923	46.7
WATDE0924	34.3
WATDE0926	44.8
WATDE0927	26.9
WATDE0928	NA
WATDE0929	NA
WATDE0930	NA
WATDE0932	44.5
WATDE0933	45.7
WATDE0934	NA
WATDE0935	NA
WATDE0937	NA
WATDE0938	NA
WATDE0939	32.5
WATDE0941	NA
WATDE0944	NA
WATDE0945	NA
WATDE0947	NA
WATDE0950	NA
WATDE0951	35.2
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	NA
WATDE0958	NA
WATDE0961	NA
WATDE0963	35.1
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	35.9
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	NA
WATDE0981	NA
WATDE0982	NA
WATDE0983	NA
WATDE0984	33.4
WATDE0986	7.7
WATDE0987	NA
WATDE0989	38.9
WATDE0991	37.6
WATDE0993	NA
WATDE0995	44.1
WATDE0996	NA
WATDE0997	NA
WATDE0999	NA
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	NA
WATDE1005	NA
WATDE1008	NA
WATDE1009	NA
WATDE1010	NA
WATDE1012	42.2
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	NA
WATDE1023	NA
WATDE1025	30.2
WATDE1026	NA
WATDE1027	NA
WATDE1029	NA
WATDE1031	NA
WATDE1032	NA
WATDE1034	NA
WATDE1035	NA
WATDE1037	NA
WATDE1038	46
WATDE1040	NA
WATDE1042	NA
WATDE1044	NA
WATDE1046	40.9
WATDE1048	35
WATDE1049	40.2
WATDE1050	38.6
WATDE1051	47.1
WATDE1052	NA
WATDE1053	NA
WATDE1055	36.6
WATDE1056	NA
WATDE1058	NA
WATDE1060	33.7
WATDE1061	NA
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
