IID	FT_Shenzhen-NN_2021_Natural
WATDE0501	NA
WATDE0502	NA
WATDE0503	NA
WATDE0504	NA
WATDE0505	NA
WATDE0507	NA
WATDE0509	NA
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	120
WATDE0515	NA
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	NA
WATDE0521	122
WATDE0522	160
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	158
WATDE0534	NA
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	133
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	136
WATDE0544	NA
WATDE0546	NA
WATDE0547	118
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	NA
WATDE0555	120
WATDE0556	NA
WATDE0557	158
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	NA
WATDE0563	158
WATDE0565	NA
WATDE0566	NA
WATDE0567	NA
WATDE0568	NA
WATDE0569	107
WATDE0570	109
WATDE0571	NA
WATDE0572	133
WATDE0574	133
WATDE0577	111
WATDE0578	NA
WATDE0579	146.5
WATDE0581	NA
WATDE0582	NA
WATDE0585	124.5
WATDE0586	NA
WATDE0588	NA
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	133
WATDE0598	NA
WATDE0599	NA
WATDE0600	118.5
WATDE0601	NA
WATDE0602	NA
WATDE0603	130
WATDE0604	NA
WATDE0606	133
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	133
WATDE0613	119.5
WATDE0614	133
WATDE0615	NA
WATDE0616	133
WATDE0617	NA
WATDE0618	136
WATDE0620	NA
WATDE0622	118.5
WATDE0624	NA
WATDE0626	106
WATDE0627	NA
WATDE0628	130
WATDE0630	NA
WATDE0631	133
WATDE0632	158
WATDE0634	NA
WATDE0635	NA
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	130
WATDE0641	NA
WATDE0643	133
WATDE0644	NA
WATDE0646	133
WATDE0648	NA
WATDE0649	133
WATDE0650	118.5
WATDE0651	NA
WATDE0652	130
WATDE0653	113
WATDE0655	NA
WATDE0657	NA
WATDE0658	NA
WATDE0659	NA
WATDE0660	92
WATDE0661	133
WATDE0662	NA
WATDE0663	109
WATDE0664	NA
WATDE0665	161
WATDE0666	NA
WATDE0667	136
WATDE0669	NA
WATDE0670	159
WATDE0671	NA
WATDE0672	136
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	158
WATDE0679	NA
WATDE0680	133
WATDE0682	NA
WATDE0683	NA
WATDE0685	NA
WATDE0686	130
WATDE0687	128
WATDE0688	NA
WATDE0689	133
WATDE0691	NA
WATDE0693	133
WATDE0694	133
WATDE0695	133
WATDE0697	133
WATDE0699	NA
WATDE0700	130
WATDE0701	NA
WATDE0702	NA
WATDE0703	NA
WATDE0704	NA
WATDE0705	NA
WATDE0706	113
WATDE0707	NA
WATDE0709	NA
WATDE0710	NA
WATDE0712	NA
WATDE0713	NA
WATDE0716	NA
WATDE0718	158
WATDE0720	158
WATDE0721	NA
WATDE0723	NA
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	106.5
WATDE0730	130
WATDE0732	130
WATDE0735	NA
WATDE0736	NA
WATDE0737	130
WATDE0738	NA
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	NA
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	111
WATDE0752	NA
WATDE0754	130
WATDE0755	NA
WATDE0756	160
WATDE0758	NA
WATDE0759	133
WATDE0760	NA
WATDE0761	111
WATDE0763	NA
WATDE0765	NA
WATDE0766	NA
WATDE0768	133
WATDE0769	133
WATDE0770	NA
WATDE0771	NA
WATDE0773	109
WATDE0774	NA
WATDE0775	NA
WATDE0776	130
WATDE0777	NA
WATDE0779	NA
WATDE0780	NA
WATDE0781	158
WATDE0782	NA
WATDE0783	133
WATDE0785	133
WATDE0786	NA
WATDE0788	106.5
WATDE0789	133
WATDE0790	133
WATDE0791	NA
WATDE0793	130
WATDE0794	NA
WATDE0795	NA
WATDE0797	133
WATDE0798	111
WATDE0800	NA
WATDE0802	109
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	120
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	118.5
WATDE0831	NA
WATDE0833	NA
WATDE0835	133
WATDE0836	NA
WATDE0837	158
WATDE0839	NA
WATDE0840	NA
WATDE0841	158
WATDE0843	NA
WATDE0845	NA
WATDE0846	NA
WATDE0848	136
WATDE0850	NA
WATDE0851	133
WATDE0852	130
WATDE0854	NA
WATDE0856	158
WATDE0857	108.5
WATDE0859	NA
WATDE0861	118
WATDE0862	133
WATDE0863	111
WATDE0864	NA
WATDE0865	145.5
WATDE0869	158
WATDE0871	115
WATDE0872	130
WATDE0873	130
WATDE0874	130
WATDE0875	NA
WATDE0876	130
WATDE0877	NA
WATDE0878	136
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	133
WATDE0889	NA
WATDE0890	149.5
WATDE0892	NA
WATDE0894	NA
WATDE0895	133
WATDE0896	NA
WATDE0898	NA
WATDE0899	130
WATDE0900	NA
WATDE0901	NA
WATDE0902	NA
WATDE0903	NA
WATDE0904	111
WATDE0905	111
WATDE0906	NA
WATDE0907	NA
WATDE0909	106.5
WATDE0910	NA
WATDE0911	NA
WATDE0912	133
WATDE0913	NA
WATDE0914	NA
WATDE0915	130
WATDE0916	NA
WATDE0917	NA
WATDE0918	NA
WATDE0919	107
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	93
WATDE0926	93
WATDE0927	100
WATDE0928	133
WATDE0929	NA
WATDE0930	161
WATDE0932	NA
WATDE0933	130
WATDE0934	NA
WATDE0935	NA
WATDE0937	133
WATDE0938	NA
WATDE0939	106.5
WATDE0941	NA
WATDE0944	133
WATDE0945	133
WATDE0947	130
WATDE0950	NA
WATDE0951	130
WATDE0952	158
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	133
WATDE0958	158
WATDE0961	NA
WATDE0963	NA
WATDE0965	NA
WATDE0966	NA
WATDE0967	120
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	119
WATDE0981	NA
WATDE0982	NA
WATDE0983	NA
WATDE0984	NA
WATDE0986	NA
WATDE0987	127
WATDE0989	NA
WATDE0991	133
WATDE0993	159
WATDE0995	133
WATDE0996	130
WATDE0997	NA
WATDE0999	120
WATDE1001	NA
WATDE1002	NA
WATDE1003	158
WATDE1004	159
WATDE1005	133
WATDE1008	158
WATDE1009	133
WATDE1010	133
WATDE1012	130
WATDE1014	NA
WATDE1016	128
WATDE1017	158
WATDE1018	158
WATDE1019	NA
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	133
WATDE1027	NA
WATDE1029	NA
WATDE1031	160
WATDE1032	119
WATDE1034	NA
WATDE1035	119
WATDE1037	128
WATDE1038	93
WATDE1040	NA
WATDE1042	NA
WATDE1044	NA
WATDE1046	106.5
WATDE1048	122.5
WATDE1049	133
WATDE1050	133
WATDE1051	NA
WATDE1052	160
WATDE1053	156
WATDE1055	NA
WATDE1056	NA
WATDE1058	130
WATDE1060	115
WATDE1061	130
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
