IID	GI_Shenzhen-LN_2020_Natural
WATDE0848	NA
WATDE0850	NA
WATDE0851	NA
WATDE0852	NA
WATDE0854	0.688750102
WATDE0856	NA
WATDE0857	1.094629055
WATDE0859	NA
WATDE0861	1.635132651
WATDE0862	1.580787752
WATDE0863	1.406857044
WATDE0864	NA
WATDE0865	2.238525761
WATDE0869	NA
WATDE0871	NA
WATDE0872	NA
WATDE0873	NA
WATDE0874	NA
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	1.471690249
WATDE0889	1.253297433
WATDE0890	2.090450077
WATDE0892	NA
WATDE0894	NA
WATDE0895	2.966108678
WATDE0896	NA
WATDE0898	NA
WATDE0899	NA
WATDE0900	NA
WATDE0901	NA
WATDE0902	NA
WATDE0903	NA
WATDE0904	NA
WATDE0905	NA
WATDE0906	NA
WATDE0907	NA
WATDE0909	1.043303503
WATDE0910	0.750420058
WATDE0911	NA
WATDE0912	NA
WATDE0913	0.913298477
WATDE0914	NA
WATDE0915	NA
WATDE0916	NA
WATDE0917	NA
WATDE0918	NA
WATDE0919	1.053986847
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	1.10673772
WATDE0926	1.0480111
WATDE0927	1.370261257
WATDE0928	1.24694932
WATDE0929	NA
WATDE0930	2.196731581
WATDE0932	1.042009045
WATDE0933	NA
WATDE0934	NA
WATDE0935	NA
WATDE0937	1.545604695
WATDE0938	NA
WATDE0939	1.02238567
WATDE0941	NA
WATDE0944	1.632419917
WATDE0945	1.282250768
WATDE0947	NA
WATDE0950	NA
WATDE0951	NA
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	2.118583386
WATDE0958	NA
WATDE0961	NA
WATDE0963	2.021301275
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	NA
WATDE0981	NA
WATDE0982	NA
WATDE0983	2.980495701
WATDE0984	1.924540715
WATDE0986	NA
WATDE0987	NA
WATDE0989	NA
WATDE0991	2.001738546
WATDE0993	2.593657264
WATDE0995	1.985428279
WATDE0996	NA
WATDE0997	NA
WATDE0999	NA
WATDE1001	NA
WATDE1002	2.374267293
