IID	LeafCol_Shenzhen_2022_Natural
WATDE0620	2
WATDE0622	NA
WATDE0624	NA
WATDE0626	1
WATDE0627	NA
WATDE0628	2
WATDE0630	2
WATDE0631	1
WATDE0632	2
WATDE0634	2
WATDE0635	1
WATDE0636	2
WATDE0638	2
WATDE0639	2
WATDE0640	2
WATDE0641	NA
WATDE0643	1
WATDE0644	NA
WATDE0646	1
WATDE0648	2
WATDE0649	2
WATDE0650	1
WATDE0651	1
WATDE0652	2
WATDE0653	2
WATDE0655	2
WATDE0657	1
WATDE0658	1
WATDE0659	2
WATDE0660	2
WATDE0661	2
WATDE0662	1
WATDE0663	2
WATDE0664	2
WATDE0665	2
WATDE0666	2
WATDE0667	2
WATDE0669	1
WATDE0670	2
WATDE0671	2
WATDE0672	2
WATDE0674	2
WATDE0675	2
WATDE0676	2
WATDE0678	2
WATDE0679	2
WATDE0680	2
WATDE0682	1
WATDE0683	2
WATDE0685	2
WATDE0686	1
WATDE0687	2
WATDE0688	2
WATDE0689	1
WATDE0691	2
WATDE0693	2
WATDE0694	2
WATDE0695	2
WATDE0697	1
WATDE0699	NA
WATDE0700	2
WATDE0701	2
WATDE0702	2
WATDE0703	2
WATDE0704	2
WATDE0705	2
WATDE0706	1
WATDE0707	1
WATDE0709	1
WATDE0710	NA
WATDE0712	1
WATDE0713	2
WATDE0716	NA
WATDE0718	2
WATDE0720	2
WATDE0721	1
WATDE0723	1
WATDE0725	1
WATDE0726	2
WATDE0727	NA
WATDE0728	2
WATDE0729	2
WATDE0730	2
WATDE0732	2
WATDE0735	1
WATDE0736	2
WATDE0737	2
WATDE0738	2
WATDE0739	2
WATDE0740	NA
WATDE0742	NA
WATDE0743	1
WATDE0744	NA
WATDE0745	2
WATDE0747	2
WATDE0748	NA
WATDE0749	2
WATDE0750	NA
WATDE0751	2
WATDE0752	2
WATDE0754	2
WATDE0755	1
WATDE0756	1
WATDE0758	2
WATDE0759	2
WATDE0760	2
WATDE0761	1
WATDE0763	2
WATDE0765	2
WATDE0766	1
WATDE0768	2
WATDE0769	2
WATDE0770	1
WATDE0771	2
WATDE0773	1
WATDE0774	1
WATDE0775	1
WATDE0776	2
WATDE0777	1
WATDE0779	NA
WATDE0780	1
WATDE0781	1
WATDE0782	1
WATDE0783	1
WATDE0785	1
WATDE0786	2
WATDE0788	1
WATDE0789	2
WATDE0790	2
WATDE0791	2
WATDE0793	1
WATDE0794	1
WATDE0795	2
WATDE0797	1
WATDE0798	2
WATDE0800	2
WATDE0802	2
WATDE0803	2
WATDE0804	2
WATDE0805	2
WATDE0807	2
WATDE0808	2
WATDE0810	2
WATDE0811	2
WATDE0812	2
WATDE0814	2
WATDE0815	NA
WATDE0816	2
WATDE0817	1
WATDE0818	NA
WATDE0819	2
WATDE0821	NA
WATDE0823	2
WATDE0825	NA
WATDE0826	NA
WATDE0827	1
WATDE0828	NA
WATDE0830	1
WATDE0831	2
WATDE0833	2
WATDE0835	2
WATDE0836	1
WATDE0837	1
WATDE0839	2
WATDE0840	1
WATDE0841	2
WATDE0843	2
WATDE0845	2
WATDE0846	2
WATDE0848	2
WATDE0850	2
WATDE0851	2
WATDE0852	2
WATDE0854	2
WATDE0856	2
WATDE0857	2
WATDE0859	1
WATDE0861	2
WATDE0862	1
WATDE0863	1
WATDE0864	NA
WATDE0865	2
WATDE0869	2
WATDE0871	1
WATDE0872	2
WATDE0873	1
WATDE0874	2
WATDE0875	2
WATDE0876	2
WATDE0877	1
WATDE0878	2
WATDE0879	2
WATDE0880	2
WATDE0881	2
WATDE0882	1
WATDE0883	1
WATDE0884	NA
WATDE0887	2
WATDE0888	1
WATDE0889	2
WATDE0890	1
WATDE0892	2
WATDE0894	2
WATDE0895	2
WATDE0896	1
WATDE0898	NA
WATDE0899	1
WATDE0900	NA
WATDE0901	2
WATDE0902	2
WATDE0903	NA
WATDE0904	1
WATDE0905	2
WATDE0906	2
WATDE0907	2
WATDE0909	1
WATDE0910	1
WATDE0911	NA
WATDE0912	1
WATDE0913	2
WATDE0914	NA
WATDE0915	2
WATDE0916	2
WATDE0917	1
WATDE0918	NA
WATDE0919	1
WATDE0920	NA
WATDE0922	2
WATDE0923	1
WATDE0924	1
WATDE0926	2
WATDE0927	1
WATDE0928	2
WATDE0929	1
WATDE0930	2
WATDE0932	1
WATDE0933	2
WATDE0934	1
WATDE0935	2
WATDE0937	2
WATDE0938	1
WATDE0939	2
WATDE0941	2
WATDE0944	2
WATDE0945	1
WATDE0947	2
WATDE0950	2
WATDE0951	2
WATDE0952	2
WATDE0953	NA
WATDE0954	2
WATDE0955	NA
WATDE0957	1
WATDE0958	NA
WATDE0961	2
WATDE0963	2
WATDE0965	NA
WATDE0966	2
WATDE0967	1
WATDE0969	2
WATDE0970	2
WATDE0971	2
WATDE0973	NA
WATDE0974	1
WATDE0975	NA
WATDE0977	2
WATDE0978	2
WATDE0979	2
WATDE0981	2
WATDE0982	1
WATDE0983	1
WATDE0984	2
WATDE0986	1
WATDE0987	2
WATDE0989	2
WATDE0991	1
WATDE0993	2
WATDE0995	2
WATDE0996	2
WATDE0997	1
WATDE0999	2
WATDE1001	2
WATDE1002	2
WATDE1003	2
WATDE1004	2
WATDE1005	2
WATDE1008	1
WATDE1009	2
WATDE1010	2
WATDE1012	2
WATDE1014	2
WATDE1016	1
WATDE1017	NA
WATDE1018	2
WATDE1019	2
WATDE1021	2
WATDE1023	2
WATDE1025	2
WATDE1026	2
WATDE1027	NA
WATDE1029	2
WATDE1031	2
WATDE1032	2
WATDE1034	1
WATDE1035	1
WATDE1037	2
WATDE1038	2
WATDE1040	1
WATDE1042	NA
WATDE1044	2
WATDE1046	1
WATDE1048	2
WATDE1049	2
WATDE1050	2
WATDE1051	2
WATDE1052	2
WATDE1053	NA
WATDE1055	1
WATDE1056	2
WATDE1058	2
WATDE1060	2
WATDE1061	2
WATDE1062	2
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
