IID	CHL_Shenzhen-NN_2020_Natural
WATDE1027	NA
WATDE1029	NA
WATDE1031	14.46130522
WATDE1032	NA
WATDE1034	NA
WATDE1035	NA
WATDE1037	10.34654098
WATDE1038	3.414264848
WATDE1040	NA
WATDE1042	NA
WATDE1044	NA
WATDE1046	11.94220739
WATDE1048	11.0604802
WATDE1049	13.59670822
WATDE1050	14.8483019
WATDE1051	10.6435669
WATDE1052	7.066612824
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	NA
WATDE1060	16.6187188
WATDE1061	NA
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
