IID	SplN_Kaifeng-GH_2020_Natural_Fertile
WATDE0581	17.44
WATDE0582	NA
WATDE0585	17.78
WATDE0586	25.33
WATDE0588	NA
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	22.22
WATDE0598	NA
WATDE0599	NA
WATDE0600	23.00
WATDE0601	NA
WATDE0602	NA
WATDE0603	12.00
WATDE0604	10.00
WATDE0606	NA
WATDE0608	NA
WATDE0609	NA
WATDE0610	17.00
WATDE0611	19.75
WATDE0613	17.40
WATDE0614	11.00
WATDE0615	13.00
WATDE0616	19.44
WATDE0617	26.00
WATDE0618	22.33
WATDE0620	NA
WATDE0622	20.67
WATDE0624	NA
WATDE0626	10.33
WATDE0627	NA
WATDE0628	7.00
WATDE0630	17.00
WATDE0631	11.67
WATDE0632	NA
WATDE0634	NA
WATDE0635	21.00
WATDE0636	20.33
WATDE0638	17.00
WATDE0639	NA
WATDE0640	5.00
WATDE0641	NA
WATDE0643	14.00
WATDE0644	NA
WATDE0646	17.00
WATDE0648	9.00
WATDE0649	15.00
WATDE0650	21.00
WATDE0651	15.00
WATDE0652	NA
WATDE0653	9.00
WATDE0655	19.00
WATDE0657	18.00
WATDE0658	NA
WATDE0659	18.00
WATDE0660	21.25
WATDE0661	16.89
WATDE0662	NA
WATDE0663	9.00
WATDE0664	NA
WATDE0665	15.00
WATDE0666	15.00
WATDE0667	17.33
WATDE0669	NA
WATDE0670	19.33
WATDE0671	NA
WATDE0672	19.33
WATDE0674	18.75
WATDE0675	NA
WATDE0676	NA
WATDE0678	4.00
WATDE0679	20.89
WATDE0680	14.00
WATDE0682	7.00
WATDE0683	14.00
WATDE0685	13.00
WATDE0686	13.00
WATDE0687	21.33
WATDE0688	NA
WATDE0689	22.33
WATDE0691	14.00
WATDE0693	18.60
WATDE0694	17.89
WATDE0695	18.00
WATDE0697	20.44
WATDE0699	NA
WATDE0700	16.00
WATDE0701	NA
WATDE0702	12.00
WATDE0703	NA
WATDE0704	16.00
WATDE0705	6.00
WATDE0706	23.00
WATDE0707	4.00
WATDE0709	18.67
WATDE0710	12.00
WATDE0712	7.00
WATDE0713	24.33
WATDE0716	NA
WATDE0718	16.00
WATDE0720	NA
WATDE0721	16.33
WATDE0723	13.00
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	2.00
WATDE0729	15.00
WATDE0730	NA
WATDE0732	13.00
WATDE0735	13.44
WATDE0736	11.00
WATDE0737	15.00
WATDE0738	8.00
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	11.00
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	15.00
WATDE0752	NA
WATDE0754	11.00
WATDE0755	13.00
WATDE0756	14.00
WATDE0758	15.00
WATDE0759	11.00
WATDE0760	19.00
WATDE0761	13.22
WATDE0763	16.89
WATDE0765	14.44
WATDE0766	17.00
WATDE0768	12.50
WATDE0769	18.88
WATDE0770	16.00
WATDE0771	4.00
WATDE0773	12.00
WATDE0774	NA
WATDE0775	NA
WATDE0776	17.00
WATDE0777	12.50
WATDE0779	NA
WATDE0780	NA
WATDE0781	NA
WATDE0782	18.00
WATDE0783	20.00
WATDE0785	10.89
WATDE0786	NA
WATDE0788	18.33
WATDE0789	17.29
WATDE0790	16.22
WATDE0791	3.00
WATDE0793	3.00
WATDE0794	6.00
WATDE0795	14.89
