IID	FT_Kaifeng-GH_2020_Natural
WATDE0837	145.33
WATDE0839	134.00
WATDE0840	NA
WATDE0841	139.33
WATDE0843	152.00
WATDE0845	NA
WATDE0846	131.00
WATDE0848	124.33
WATDE0850	134.00
WATDE0851	123.00
WATDE0852	137.00
WATDE0854	58.00
WATDE0856	147.67
WATDE0857	85.33
WATDE0859	119.00
WATDE0861	84.00
WATDE0862	134.00
WATDE0863	75.50
WATDE0864	153.00
WATDE0865	127.00
WATDE0869	154.00
WATDE0871	127.00
WATDE0872	147.67
WATDE0873	150.00
WATDE0874	144.50
WATDE0875	150.67
WATDE0876	142.67
WATDE0877	NA
WATDE0878	129.33
WATDE0879	121.33
WATDE0880	123.00
WATDE0881	131.33
WATDE0882	NA
WATDE0883	NA
WATDE0884	138.00
WATDE0887	129.00
WATDE0888	72.33
WATDE0889	80.67
WATDE0890	153.00
WATDE0892	NA
WATDE0894	127.33
WATDE0895	154.00
WATDE0896	NA
WATDE0898	NA
WATDE0899	132.00
WATDE0900	155.00
WATDE0901	128.00
WATDE0902	128.00
WATDE0903	153.00
WATDE0904	128.00
WATDE0905	129.00
WATDE0906	128.00
WATDE0907	129.00
WATDE0909	131.00
WATDE0910	124.00
WATDE0911	NA
WATDE0912	149.00
WATDE0913	80.67
WATDE0914	NA
WATDE0915	NA
WATDE0916	132.00
WATDE0917	123.00
WATDE0918	117.50
WATDE0919	85.67
WATDE0920	NA
WATDE0922	123.00
WATDE0923	132.00
WATDE0924	63.33
WATDE0926	119.00
WATDE0927	119.00
WATDE0928	118.67
WATDE0929	144.00
WATDE0930	120.00
WATDE0932	116.00
WATDE0933	123.00
WATDE0934	145.00
WATDE0935	150.00
WATDE0937	109.00
WATDE0938	132.00
WATDE0939	64.00
WATDE0941	120.33
WATDE0944	77.00
WATDE0945	95.00
WATDE0947	NA
WATDE0950	NA
WATDE0951	139.00
WATDE0952	149.00
WATDE0953	128.00
WATDE0954	NA
WATDE0955	NA
WATDE0957	NA
WATDE0958	147.00
WATDE0961	133.00
WATDE0963	64.00
WATDE0965	147.00
WATDE0966	126.67
WATDE0967	120.25
WATDE0969	139.33
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
