IID	GrnSpk_Shenzhen-NN_2021_Natural
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	NA
WATDE0981	NA
WATDE0982	NA
WATDE0983	NA
WATDE0984	37.00
WATDE0986	NA
WATDE0987	NA
WATDE0989	NA
WATDE0991	30.50
WATDE0993	37.00
WATDE0995	NA
WATDE0996	36.67
WATDE0997	NA
WATDE0999	24.00
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	38.33
WATDE1005	45.33
WATDE1008	NA
WATDE1009	36.00
WATDE1010	36.00
WATDE1012	NA
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	46.00
WATDE1027	NA
WATDE1029	NA
WATDE1031	24.00
WATDE1032	NA
WATDE1034	NA
WATDE1035	NA
WATDE1037	33.83
WATDE1038	45.33
WATDE1040	NA
WATDE1042	7.50
WATDE1044	NA
WATDE1046	60.33
WATDE1048	34.33
WATDE1049	40.83
WATDE1050	26.67
WATDE1051	41.67
WATDE1052	NA
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	NA
WATDE1060	30.67
WATDE1061	27.33
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
