IID	PH_Kaifeng-GH_2020_Natural
WATDE0627	NA
WATDE0628	NA
WATDE0630	106.00
WATDE0631	140.67
WATDE0632	NA
WATDE0634	NA
WATDE0635	127.00
WATDE0636	131.00
WATDE0638	133.33
WATDE0639	NA
WATDE0640	110.00
WATDE0641	NA
WATDE0643	120.00
WATDE0644	NA
WATDE0646	149.00
WATDE0648	104.00
WATDE0649	100.00
WATDE0650	141.67
WATDE0651	99.00
WATDE0652	NA
WATDE0653	82.00
WATDE0655	99.00
WATDE0657	131.00
WATDE0658	NA
WATDE0659	105.00
WATDE0660	109.75
WATDE0661	165.67
WATDE0662	NA
WATDE0663	78.00
WATDE0664	NA
WATDE0665	147.00
WATDE0666	100.33
WATDE0667	139.00
WATDE0669	NA
WATDE0670	196.33
WATDE0671	NA
WATDE0672	129.67
WATDE0674	123.67
WATDE0675	NA
WATDE0676	NA
WATDE0678	96.00
WATDE0679	181.33
WATDE0680	126.50
WATDE0682	78.00
WATDE0683	75.00
WATDE0685	97.00
WATDE0686	107.00
WATDE0687	108.33
WATDE0688	NA
WATDE0689	170.33
WATDE0691	71.00
WATDE0693	138.00
WATDE0694	141.67
WATDE0695	141.33
WATDE0697	136.00
WATDE0699	NA
WATDE0700	103.00
WATDE0701	NA
WATDE0702	102.00
WATDE0703	NA
WATDE0704	100.00
WATDE0705	94.00
WATDE0706	152.67
WATDE0707	80.00
WATDE0709	130.33
WATDE0710	93.00
WATDE0712	80.00
WATDE0713	132.67
WATDE0716	NA
WATDE0718	143.00
WATDE0720	NA
WATDE0721	151.33
WATDE0723	80.00
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	87.00
WATDE0729	87.00
WATDE0730	NA
WATDE0732	104.00
WATDE0735	125.33
WATDE0736	107.00
WATDE0737	98.00
WATDE0738	95.00
WATDE0739	89.00
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	99.00
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	91.00
WATDE0752	NA
WATDE0754	81.00
WATDE0755	97.00
WATDE0756	140.67
WATDE0758	95.00
WATDE0759	103.00
WATDE0760	104.00
WATDE0761	130.33
WATDE0763	134.67
WATDE0765	136.33
WATDE0766	99.00
WATDE0768	136.00
WATDE0769	151.00
WATDE0770	93.00
WATDE0771	82.00
WATDE0773	64.00
WATDE0774	NA
WATDE0775	NA
WATDE0776	NA
WATDE0777	147.00
WATDE0779	NA
WATDE0780	NA
WATDE0781	NA
WATDE0782	146.33
WATDE0783	162.67
WATDE0785	131.67
WATDE0786	NA
WATDE0788	135.33
WATDE0789	135.33
WATDE0790	125.67
WATDE0791	53.00
WATDE0793	86.00
WATDE0794	75.00
WATDE0795	137.67
WATDE0797	163.00
WATDE0798	103.00
WATDE0800	88.00
WATDE0802	128.00
WATDE0803	NA
WATDE0804	100.00
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	153.00
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	159.67
WATDE0817	NA
WATDE0818	77.00
WATDE0819	NA
WATDE0821	NA
WATDE0823	150.20
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	125.00
WATDE0831	NA
WATDE0833	NA
WATDE0835	149.67
WATDE0836	157.00
WATDE0837	170.00
WATDE0839	86.00
WATDE0840	NA
WATDE0841	172.00
WATDE0843	NA
WATDE0845	NA
WATDE0846	119.00
WATDE0848	124.33
WATDE0850	97.00
WATDE0851	105.00
WATDE0852	92.00
WATDE0854	110.50
WATDE0856	NA
WATDE0857	145.33
WATDE0859	114.00
WATDE0861	167.00
WATDE0862	112.67
WATDE0863	172.00
WATDE0864	NA
WATDE0865	153.33
WATDE0869	NA
WATDE0871	166.00
WATDE0872	122.00
WATDE0873	130.00
WATDE0874	99.00
WATDE0875	NA
WATDE0876	119.50
WATDE0877	NA
WATDE0878	130.00
WATDE0879	128.00
WATDE0880	128.67
WATDE0881	139.67
WATDE0882	NA
WATDE0883	NA
WATDE0884	106.00
WATDE0887	131.33
WATDE0888	153.00
WATDE0889	147.33
WATDE0890	NA
WATDE0892	NA
WATDE0894	112.67
WATDE0895	NA
WATDE0896	NA
WATDE0898	NA
WATDE0899	89.00
WATDE0900	NA
WATDE0901	87.00
WATDE0902	84.00
WATDE0903	NA
WATDE0904	93.00
WATDE0905	102.00
WATDE0906	81.00
WATDE0907	98.00
WATDE0909	86.00
WATDE0910	76.00
WATDE0911	NA
WATDE0912	NA
WATDE0913	168.67
WATDE0914	NA
WATDE0915	NA
WATDE0916	102.00
WATDE0917	69.00
WATDE0918	134.50
WATDE0919	151.00
WATDE0920	98.00
WATDE0922	63.00
WATDE0923	87.00
WATDE0924	121.00
WATDE0926	99.00
WATDE0927	95.00
WATDE0928	176.67
WATDE0929	152.00
WATDE0930	170.00
WATDE0932	175.33
WATDE0933	87.00
WATDE0934	75.00
WATDE0935	NA
WATDE0937	174.33
WATDE0938	157.00
WATDE0939	102.00
WATDE0941	129.67
WATDE0944	168.00
WATDE0945	164.00
WATDE0947	NA
WATDE0950	NA
WATDE0951	103.00
WATDE0952	NA
WATDE0953	120.00
WATDE0954	NA
WATDE0955	NA
WATDE0957	NA
WATDE0958	150.00
WATDE0961	132.33
WATDE0963	140.67
WATDE0965	111.50
WATDE0966	127.00
WATDE0967	137.25
WATDE0969	108.00
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	202.67
WATDE0979	146.40
WATDE0981	122.00
WATDE0982	NA
WATDE0983	151.67
WATDE0984	143.67
WATDE0986	101.00
WATDE0987	125.00
WATDE0989	80.00
WATDE0991	139.67
WATDE0993	164.67
WATDE0995	145.00
WATDE0996	NA
WATDE0997	124.33
WATDE0999	131.00
WATDE1001	120.33
WATDE1002	140.67
WATDE1003	164.00
WATDE1004	167.33
WATDE1005	178.00
WATDE1008	NA
WATDE1009	202.67
WATDE1010	174.33
WATDE1012	116.00
WATDE1014	118.67
WATDE1016	102.33
WATDE1017	199.50
WATDE1018	188.67
WATDE1019	NA
WATDE1021	116.67
WATDE1023	130.67
WATDE1025	144.33
WATDE1026	163.67
WATDE1027	81.00
WATDE1029	NA
WATDE1031	184.33
WATDE1032	137.67
WATDE1034	NA
WATDE1035	126.67
WATDE1037	139.33
WATDE1038	127.50
WATDE1040	115.33
WATDE1042	125.67
WATDE1044	122.50
WATDE1046	124.67
WATDE1048	164.00
WATDE1049	122.00
WATDE1050	NA
WATDE1051	129.67
WATDE1052	162.00
WATDE1053	NA
WATDE1055	160.00
WATDE1056	123.00
WATDE1058	137.67
WATDE1060	140.00
WATDE1061	NA
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
