IID	PH_Shenzhen-LN_2021_Natural
WATDE0887	NA
WATDE0888	114.63
WATDE0889	115.06
WATDE0890	106.75
WATDE0892	NA
WATDE0894	NA
WATDE0895	123.79
WATDE0896	NA
WATDE0898	NA
WATDE0899	122.31
WATDE0900	NA
WATDE0901	123.29
WATDE0902	78.49
WATDE0903	NA
WATDE0904	111.76
WATDE0905	116.99
WATDE0906	107.99
WATDE0907	134.80
WATDE0909	113.15
WATDE0910	107.14
WATDE0911	NA
WATDE0912	119.13
WATDE0913	125.99
WATDE0914	NA
WATDE0915	127.22
WATDE0916	102.88
WATDE0917	NA
WATDE0918	89.15
WATDE0919	99.80
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	107.61
WATDE0926	109.87
WATDE0927	115.29
WATDE0928	96.21
WATDE0929	84.23
WATDE0930	106.95
WATDE0932	134.96
WATDE0933	NA
WATDE0934	NA
WATDE0935	102.97
WATDE0937	132.26
WATDE0938	110.96
WATDE0939	106.09
WATDE0941	72.87
WATDE0944	79.72
WATDE0945	112.31
WATDE0947	NA
WATDE0950	NA
WATDE0951	103.99
WATDE0952	117.28
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	111.17
WATDE0958	NA
WATDE0961	NA
WATDE0963	92.82
WATDE0965	NA
WATDE0966	76.86
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	136.18
WATDE0979	128.76
WATDE0981	71.59
WATDE0982	NA
WATDE0983	113.30
WATDE0984	130.28
WATDE0986	120.43
WATDE0987	61.97
WATDE0989	NA
WATDE0991	123.82
WATDE0993	91.85
WATDE0995	104.26
WATDE0996	141.32
WATDE0997	NA
WATDE0999	90.61
WATDE1001	NA
WATDE1002	79.33
WATDE1003	88.93
WATDE1004	108.48
WATDE1005	70.52
WATDE1008	95.44
WATDE1009	119.39
WATDE1010	122.89
WATDE1012	113.24
WATDE1014	55.77
WATDE1016	60.94
WATDE1017	103.69
WATDE1018	95.87
WATDE1019	NA
WATDE1021	59.22
WATDE1023	NA
WATDE1025	63.98
WATDE1026	121.15
WATDE1027	NA
WATDE1029	NA
WATDE1031	66.27
WATDE1032	93.22
WATDE1034	NA
WATDE1035	83.81
WATDE1037	103.14
WATDE1038	119.80
WATDE1040	NA
WATDE1042	75.79
WATDE1044	92.00
WATDE1046	97.51
WATDE1048	128.86
WATDE1049	105.29
WATDE1050	120.29
WATDE1051	124.16
WATDE1052	101.21
WATDE1053	NA
WATDE1055	111.57
WATDE1056	108.31
WATDE1058	105.66
WATDE1060	127.74
WATDE1061	NA
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
