IID	BM_Quzhou_2022_Natural_Spike-Mature
WATDE0581	7.89
WATDE0582	10.17
WATDE0585	6.49
WATDE0586	12.95
WATDE0588	6.59
WATDE0589	7.33
WATDE0591	NA
WATDE0592	NA
WATDE0594	8.06
WATDE0596	7.15
WATDE0597	6.78
WATDE0598	6.17
WATDE0599	NA
WATDE0600	12.33
WATDE0601	NA
WATDE0602	6.8
WATDE0603	NA
WATDE0604	7
WATDE0606	6.93
WATDE0608	NA
WATDE0609	9.75
WATDE0610	6.06
WATDE0611	8.28
WATDE0613	6.64
WATDE0614	4.71
WATDE0615	5.75
WATDE0616	7.02
WATDE0617	10.78
WATDE0618	NA
WATDE0620	9.33
WATDE0622	NA
WATDE0624	NA
WATDE0626	5.38
WATDE0627	NA
WATDE0628	5.77
WATDE0630	12.85
WATDE0631	8.81
WATDE0632	9.8
WATDE0634	11
WATDE0635	8.54
WATDE0636	10.42
WATDE0638	8.06
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	7.74
WATDE0644	NA
WATDE0646	11.79
WATDE0648	NA
WATDE0649	7.2
WATDE0650	9.13
WATDE0651	6.17
WATDE0652	7.53
WATDE0653	7.35
WATDE0655	10.89
WATDE0657	7.56
WATDE0658	11.27
WATDE0659	8.22
WATDE0660	10.13
WATDE0661	5.94
WATDE0662	6.84
WATDE0663	8.65
WATDE0664	5.39
WATDE0665	3.35
WATDE0666	13.56
WATDE0667	9.53
WATDE0669	NA
WATDE0670	10.64
WATDE0671	5.9
WATDE0672	NA
WATDE0674	9.83
WATDE0675	NA
WATDE0676	8.83
WATDE0678	11.19
WATDE0679	5.84
WATDE0680	6.07
WATDE0682	6.93
WATDE0683	7.32
WATDE0685	7.23
WATDE0686	8.58
WATDE0687	9.98
WATDE0688	NA
WATDE0689	6.94
WATDE0691	7.87
WATDE0693	5.87
WATDE0694	13.59
WATDE0695	8.39
WATDE0697	8.63
WATDE0699	NA
WATDE0700	4.92
WATDE0701	7.99
WATDE0702	9.67
WATDE0703	8.74
WATDE0704	7.17
WATDE0705	4.64
WATDE0706	7.08
WATDE0707	14.66
WATDE0709	4.07
WATDE0710	NA
WATDE0712	8.35
WATDE0713	11.8
WATDE0716	NA
WATDE0718	10.7
WATDE0720	9.94
WATDE0721	9.09
WATDE0723	6.57
WATDE0725	4.76
WATDE0726	NA
WATDE0727	NA
WATDE0728	8.55
WATDE0729	10.44
WATDE0730	8.71
WATDE0732	7.24
WATDE0735	6.1
WATDE0736	4.84
WATDE0737	7.85
WATDE0738	5.56
WATDE0739	6
WATDE0740	NA
WATDE0742	NA
WATDE0743	8.64
WATDE0744	NA
WATDE0745	8.16
WATDE0747	8.83
WATDE0748	NA
WATDE0749	7.25
WATDE0750	NA
WATDE0751	11.15
WATDE0752	NA
WATDE0754	7.13
WATDE0755	10.89
WATDE0756	11.47
WATDE0758	5.63
WATDE0759	6.5
WATDE0760	4.7
WATDE0761	9.9
WATDE0763	10.94
WATDE0765	6.66
WATDE0766	7.66
WATDE0768	8.98
WATDE0769	10.91
WATDE0770	5.8
WATDE0771	9.14
WATDE0773	7.65
WATDE0774	5.69
WATDE0775	10.63
WATDE0776	6.96
WATDE0777	7.22
WATDE0779	NA
WATDE0780	11.14
WATDE0781	6.49
WATDE0782	8.82
WATDE0783	10.79
WATDE0785	9.37
WATDE0786	NA
WATDE0788	5.29
WATDE0789	8.76
WATDE0790	8.48
WATDE0791	10.92
WATDE0793	8.95
WATDE0794	8.49
WATDE0795	9.19
WATDE0797	5.62
WATDE0798	7.94
WATDE0800	9.46
WATDE0802	6.21
WATDE0803	9.07
WATDE0804	11.23
WATDE0805	6.77
WATDE0807	NA
WATDE0808	8.1
WATDE0810	NA
WATDE0811	10.04
WATDE0812	NA
WATDE0814	8.16
WATDE0815	NA
WATDE0816	5.13
WATDE0817	7.88
WATDE0818	NA
WATDE0819	6.14
WATDE0821	NA
WATDE0823	8.33
WATDE0825	NA
WATDE0826	NA
WATDE0827	10.41
WATDE0828	NA
WATDE0830	6.79
WATDE0831	7.2
WATDE0833	7.23
WATDE0835	9.07
WATDE0836	7
WATDE0837	12.19
WATDE0839	9.1
WATDE0840	10.76
WATDE0841	4.66
WATDE0843	9.51
WATDE0845	8.09
WATDE0846	7.73
WATDE0848	12.84
WATDE0850	9.72
WATDE0851	7.58
WATDE0852	9.81
WATDE0854	6.6
WATDE0856	6.41
WATDE0857	7.68
WATDE0859	8.11
WATDE0861	6.24
WATDE0862	8.37
WATDE0863	10.79
WATDE0864	NA
WATDE0865	6.52
WATDE0869	4.29
WATDE0871	10.84
WATDE0872	7.4
WATDE0873	11.91
WATDE0874	13.01
WATDE0875	8.1
WATDE0876	10.25
WATDE0877	NA
WATDE0878	4.98
WATDE0879	5.88
WATDE0880	6.3
WATDE0881	10.09
WATDE0882	9.89
WATDE0883	10.82
WATDE0884	NA
WATDE0887	8.01
WATDE0888	4.7
WATDE0889	6.96
WATDE0890	11.18
WATDE0892	8.11
WATDE0894	5.68
WATDE0895	9.64
WATDE0896	9.86
WATDE0898	NA
WATDE0899	10.77
WATDE0900	NA
WATDE0901	5.83
WATDE0902	NA
WATDE0903	NA
WATDE0904	6.45
WATDE0905	9.89
WATDE0906	9.44
WATDE0907	8.26
WATDE0909	8.19
WATDE0910	9.34
WATDE0911	NA
WATDE0912	5.69
WATDE0913	9.41
WATDE0914	NA
WATDE0915	6.94
WATDE0916	8.47
WATDE0917	5.2
WATDE0918	NA
WATDE0919	7.17
WATDE0920	NA
WATDE0922	NA
WATDE0923	8.92
WATDE0924	7.35
WATDE0926	11.45
WATDE0927	7.4
WATDE0928	5.97
WATDE0929	9.08
WATDE0930	5.91
WATDE0932	6.37
WATDE0933	6.13
WATDE0934	8.85
WATDE0935	9.62
WATDE0937	7.45
WATDE0938	5.72
WATDE0939	6.63
WATDE0941	7.12
WATDE0944	7.52
WATDE0945	9.05
WATDE0947	14.42
WATDE0950	NA
WATDE0951	7.3
WATDE0952	3.91
WATDE0953	NA
WATDE0954	8.88
WATDE0955	NA
WATDE0957	7.27
WATDE0958	NA
WATDE0961	13.08
WATDE0963	4.16
WATDE0965	NA
WATDE0966	9.55
WATDE0967	15.24
WATDE0969	NA
WATDE0970	8.21
WATDE0971	6.62
WATDE0973	NA
WATDE0974	13.95
WATDE0975	NA
WATDE0977	6.4
WATDE0978	16.66
WATDE0979	10.21
WATDE0981	15.44
WATDE0982	NA
WATDE0983	6.02
WATDE0984	6.71
WATDE0986	6.56
WATDE0987	3.66
WATDE0989	6.44
WATDE0991	11.5
WATDE0993	5.56
WATDE0995	4.68
WATDE0996	7.92
WATDE0997	10.92
WATDE0999	5.67
WATDE1001	NA
WATDE1002	6.61
WATDE1003	7.53
WATDE1004	10.58
WATDE1005	7.34
WATDE1008	7.8
WATDE1009	11.12
WATDE1010	6.74
WATDE1012	7.59
WATDE1014	6.41
WATDE1016	5.24
WATDE1017	NA
WATDE1018	9.76
WATDE1019	7.65
WATDE1021	9.99
WATDE1023	5.85
WATDE1025	9.43
WATDE1026	14.74
WATDE1027	NA
WATDE1029	8.5
WATDE1031	6.32
WATDE1032	8.36
WATDE1034	NA
WATDE1035	10.08
WATDE1037	6.21
WATDE1038	6.83
WATDE1040	5.45
WATDE1042	NA
WATDE1044	7.01
WATDE1046	9.6
WATDE1048	4.87
WATDE1049	7.91
WATDE1050	7.45
WATDE1051	8.77
WATDE1052	9.56
WATDE1053	NA
WATDE1055	7.8
WATDE1056	7.94
WATDE1058	6.42
WATDE1060	8.05
WATDE1061	7.96
WATDE1062	13.05
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
