IID	BM_Shenzhen_2022_Natural_spike-flowering
WATDE0565	3.79
WATDE0566	NA
WATDE0567	NA
WATDE0568	NA
WATDE0569	4.37
WATDE0570	NA
WATDE0571	3.75
WATDE0572	2.38
WATDE0574	NA
WATDE0577	2.53
WATDE0578	NA
WATDE0579	7.38
WATDE0581	2.31
WATDE0582	NA
WATDE0585	2.06
WATDE0586	NA
WATDE0588	1.19
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	1.55
WATDE0596	NA
WATDE0597	1.81
WATDE0598	4.1
WATDE0599	NA
WATDE0600	2.48
WATDE0601	NA
WATDE0602	1.96
WATDE0603	NA
WATDE0604	2.91
WATDE0606	2.6
WATDE0608	NA
WATDE0609	NA
WATDE0610	1.15
WATDE0611	2.08
WATDE0613	1.82
WATDE0614	2.35
WATDE0615	2.24
WATDE0616	3.22
WATDE0617	NA
WATDE0618	NA
WATDE0620	1.73
WATDE0622	NA
WATDE0624	NA
WATDE0626	4.18
WATDE0627	NA
WATDE0628	1.59
WATDE0630	1.45
WATDE0631	NA
WATDE0632	NA
WATDE0634	2.48
WATDE0635	2.78
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	1.53
WATDE0644	NA
WATDE0646	4.31
WATDE0648	NA
WATDE0649	NA
WATDE0650	NA
WATDE0651	NA
WATDE0652	1.71
WATDE0653	4.56
WATDE0655	NA
WATDE0657	2.45
WATDE0658	NA
WATDE0659	4.09
WATDE0660	NA
WATDE0661	NA
WATDE0662	NA
WATDE0663	4
WATDE0664	NA
WATDE0665	1.86
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	NA
WATDE0674	2.77
WATDE0675	NA
WATDE0676	2.21
WATDE0678	2.29
WATDE0679	5.96
WATDE0680	NA
WATDE0682	4.61
WATDE0683	2.94
WATDE0685	NA
WATDE0686	NA
WATDE0687	NA
WATDE0688	NA
WATDE0689	NA
WATDE0691	3.01
WATDE0693	NA
WATDE0694	NA
WATDE0695	3.01
WATDE0697	NA
WATDE0699	NA
WATDE0700	2.51
WATDE0701	1.55
WATDE0702	NA
WATDE0703	NA
WATDE0704	1.87
WATDE0705	2.65
WATDE0706	1.82
WATDE0707	2.34
WATDE0709	2.09
WATDE0710	NA
WATDE0712	3.3
WATDE0713	NA
WATDE0716	NA
WATDE0718	2.72
WATDE0720	2.61
WATDE0721	3.01
WATDE0723	3.1
WATDE0725	1.34
WATDE0726	NA
WATDE0727	NA
WATDE0728	2.79
WATDE0729	2.84
WATDE0730	NA
WATDE0732	2.96
WATDE0735	2.99
WATDE0736	3.27
WATDE0737	3.16
WATDE0738	3.09
WATDE0739	4.19
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	4.98
WATDE0747	3.22
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	2.66
WATDE0752	NA
WATDE0754	1.6
WATDE0755	1.93
WATDE0756	2.03
WATDE0758	1.88
WATDE0759	NA
WATDE0760	NA
WATDE0761	NA
WATDE0763	2.78
WATDE0765	3.61
WATDE0766	2.78
WATDE0768	NA
WATDE0769	4.12
WATDE0770	4.7
WATDE0771	NA
WATDE0773	2.27
WATDE0774	NA
WATDE0775	NA
WATDE0776	1.13
WATDE0777	2.81
WATDE0779	NA
WATDE0780	1.55
WATDE0781	NA
WATDE0782	2.11
WATDE0783	NA
WATDE0785	2.28
WATDE0786	NA
WATDE0788	NA
WATDE0789	1.4
WATDE0790	1.6
WATDE0791	1.58
WATDE0793	2.43
WATDE0794	4.62
WATDE0795	3.23
WATDE0797	4.57
WATDE0798	3.08
WATDE0800	2.51
WATDE0802	5.63
WATDE0803	NA
WATDE0804	3.36
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	2.66
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	NA
WATDE0831	NA
WATDE0833	NA
WATDE0835	1.23
WATDE0836	NA
WATDE0837	2.22
WATDE0839	NA
WATDE0840	4
WATDE0841	1.53
WATDE0843	NA
WATDE0845	NA
WATDE0846	3.24
WATDE0848	NA
WATDE0850	NA
WATDE0851	2.64
WATDE0852	2.46
WATDE0854	NA
WATDE0856	1.44
WATDE0857	NA
WATDE0859	1.44
WATDE0861	1.97
WATDE0862	NA
WATDE0863	NA
WATDE0864	NA
WATDE0865	2.53
WATDE0869	2.07
WATDE0871	3.06
WATDE0872	NA
WATDE0873	3.34
WATDE0874	NA
WATDE0875	3.11
WATDE0876	2.58
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	1.62
WATDE0884	NA
WATDE0887	NA
WATDE0888	1.6
WATDE0889	4.01
WATDE0890	3.54
WATDE0892	4.97
WATDE0894	NA
WATDE0895	NA
WATDE0896	NA
WATDE0898	NA
WATDE0899	4.38
WATDE0900	NA
WATDE0901	2.35
WATDE0902	NA
WATDE0903	NA
WATDE0904	NA
WATDE0905	5.08
WATDE0906	1.88
WATDE0907	2.98
WATDE0909	NA
WATDE0910	2.66
WATDE0911	NA
WATDE0912	1.52
WATDE0913	5
WATDE0914	NA
WATDE0915	NA
WATDE0916	NA
WATDE0917	2.44
WATDE0918	NA
WATDE0919	NA
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	NA
WATDE0926	2.12
WATDE0927	2.79
WATDE0928	NA
WATDE0929	NA
WATDE0930	1.46
WATDE0932	4.36
WATDE0933	2.65
WATDE0934	NA
WATDE0935	NA
WATDE0937	1.46
WATDE0938	NA
WATDE0939	NA
WATDE0941	NA
WATDE0944	NA
WATDE0945	1.37
WATDE0947	1.36
WATDE0950	NA
WATDE0951	1.69
WATDE0952	1.03
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	1.25
WATDE0958	NA
WATDE0961	NA
WATDE0963	NA
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	3.57
WATDE0971	NA
WATDE0973	NA
WATDE0974	2.6
WATDE0975	NA
WATDE0977	2.59
WATDE0978	2.69
WATDE0979	3.66
WATDE0981	2.1
WATDE0982	NA
WATDE0983	6.2
WATDE0984	2.26
WATDE0986	3.92
WATDE0987	2.75
WATDE0989	3.07
WATDE0991	3.71
WATDE0993	NA
WATDE0995	3.13
WATDE0996	2
WATDE0997	NA
WATDE0999	3.13
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	NA
WATDE1005	NA
WATDE1008	NA
WATDE1009	1.74
WATDE1010	1.39
WATDE1012	2.99
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	2.85
WATDE1019	NA
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	3.37
WATDE1027	NA
WATDE1029	NA
WATDE1031	2.01
WATDE1032	1.86
WATDE1034	NA
WATDE1035	NA
WATDE1037	0.63
WATDE1038	NA
WATDE1040	NA
WATDE1042	NA
WATDE1044	2.6
WATDE1046	NA
WATDE1048	0.76
WATDE1049	1.97
WATDE1050	2.32
WATDE1051	3
WATDE1052	3.15
WATDE1053	NA
WATDE1055	1.35
WATDE1056	NA
WATDE1058	NA
WATDE1060	4.13
WATDE1061	1.71
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
