IID	GY_Shenzhen-NN_2021_Natural_1plot
WATDE0563	44.00
WATDE0565	165.00
WATDE0566	NA
WATDE0567	NA
WATDE0568	NA
WATDE0569	150.00
WATDE0570	232.00
WATDE0571	189.50
WATDE0572	120.00
WATDE0574	268.50
WATDE0577	130.00
WATDE0578	NA
WATDE0579	172.00
WATDE0581	136.50
WATDE0582	60.50
WATDE0585	261.00
WATDE0586	NA
WATDE0588	48.00
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	216.00
WATDE0598	NA
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	182.00
WATDE0603	27.00
WATDE0604	87.00
WATDE0606	NA
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	145.00
WATDE0613	147.00
WATDE0614	269.00
WATDE0615	206.00
WATDE0616	NA
WATDE0617	NA
WATDE0618	NA
WATDE0620	NA
WATDE0622	NA
WATDE0624	NA
WATDE0626	255.00
WATDE0627	NA
WATDE0628	111.00
WATDE0630	61.00
WATDE0631	71.50
WATDE0632	NA
WATDE0634	NA
WATDE0635	168.00
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	44.00
WATDE0641	NA
WATDE0643	125.00
WATDE0644	NA
WATDE0646	72.50
WATDE0648	NA
WATDE0649	103.50
WATDE0650	NA
WATDE0651	221.00
WATDE0652	66.00
WATDE0653	134.50
WATDE0655	NA
WATDE0657	50.00
WATDE0658	NA
WATDE0659	164.50
WATDE0660	165.00
WATDE0661	224.00
WATDE0662	NA
WATDE0663	80.00
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	NA
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	47.50
WATDE0679	NA
WATDE0680	150.00
WATDE0682	38.00
WATDE0683	136.00
WATDE0685	99.00
WATDE0686	48.00
WATDE0687	NA
WATDE0688	NA
WATDE0689	74.50
WATDE0691	249.00
WATDE0693	85.50
WATDE0694	127.50
WATDE0695	150.00
WATDE0697	27.50
WATDE0699	NA
WATDE0700	79.00
WATDE0701	45.00
WATDE0702	NA
WATDE0703	NA
WATDE0704	297.00
WATDE0705	88.50
WATDE0706	121.00
WATDE0707	107.00
WATDE0709	NA
WATDE0710	NA
WATDE0712	138.00
WATDE0713	NA
WATDE0716	NA
WATDE0718	NA
WATDE0720	NA
WATDE0721	NA
