IID	TN_Shenzhen_20220412_Natural
WATDE0502	NA
WATDE0503	NA
WATDE0504	143
WATDE0505	NA
WATDE0507	NA
WATDE0509	NA
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	75
WATDE0515	NA
WATDE0516	NA
WATDE0518	210
WATDE0519	101.5
WATDE0520	NA
WATDE0521	NA
WATDE0522	NA
WATDE0524	NA
WATDE0527	163
WATDE0529	NA
WATDE0531	137.5
WATDE0533	NA
WATDE0534	NA
WATDE0536	NA
WATDE0537	NA
WATDE0538	NA
WATDE0539	NA
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	NA
WATDE0544	NA
WATDE0546	NA
WATDE0547	119.5
WATDE0549	102
WATDE0550	136
WATDE0552	88
WATDE0553	NA
WATDE0555	NA
WATDE0556	NA
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	113
WATDE0563	106.5
WATDE0565	NA
WATDE0566	NA
WATDE0567	66.5
WATDE0568	NA
WATDE0569	NA
WATDE0570	248
WATDE0571	NA
WATDE0572	NA
WATDE0574	68
WATDE0577	NA
WATDE0578	NA
WATDE0579	NA
WATDE0581	NA
WATDE0582	147
WATDE0585	90
WATDE0586	124
WATDE0588	156.5
WATDE0589	121.5
WATDE0591	NA
WATDE0592	NA
WATDE0594	133.5
WATDE0596	96.5
WATDE0597	NA
WATDE0598	NA
WATDE0599	NA
WATDE0600	155
WATDE0601	NA
WATDE0602	91
WATDE0603	NA
WATDE0604	12.5
WATDE0606	110.5
WATDE0608	NA
WATDE0609	111
WATDE0610	123
WATDE0611	182
WATDE0613	NA
WATDE0614	NA
WATDE0615	NA
WATDE0616	NA
WATDE0617	68
WATDE0618	NA
WATDE0620	75.5
WATDE0622	NA
WATDE0624	NA
WATDE0626	41.5
WATDE0627	NA
WATDE0628	NA
WATDE0630	NA
WATDE0631	NA
WATDE0632	NA
WATDE0634	136
WATDE0635	31
WATDE0636	NA
WATDE0638	NA
WATDE0639	NA
WATDE0640	NA
WATDE0641	NA
WATDE0643	92
WATDE0644	NA
WATDE0646	NA
WATDE0648	NA
WATDE0649	153
WATDE0650	NA
WATDE0651	114
WATDE0652	NA
WATDE0653	71.5
WATDE0655	NA
WATDE0657	NA
WATDE0658	97
WATDE0659	114
WATDE0660	131.5
WATDE0661	NA
WATDE0662	134.5
WATDE0663	NA
WATDE0664	112
WATDE0665	139.5
WATDE0666	179
WATDE0667	176.5
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	NA
WATDE0674	NA
WATDE0675	NA
WATDE0676	123
WATDE0678	99
WATDE0679	NA
WATDE0680	NA
WATDE0682	NA
WATDE0683	NA
WATDE0685	NA
WATDE0686	74.5
WATDE0687	141
WATDE0688	NA
WATDE0689	123
WATDE0691	NA
WATDE0693	NA
WATDE0694	73
WATDE0695	56.5
WATDE0697	122
WATDE0699	NA
WATDE0700	NA
WATDE0701	NA
WATDE0702	NA
WATDE0703	155.5
WATDE0704	NA
WATDE0705	NA
WATDE0706	94
WATDE0707	129
WATDE0709	NA
WATDE0710	NA
WATDE0712	72
WATDE0713	95
WATDE0716	NA
WATDE0718	NA
WATDE0720	112.5
WATDE0721	194
WATDE0723	82.5
WATDE0725	155
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	NA
WATDE0730	NA
WATDE0732	NA
WATDE0735	NA
WATDE0736	NA
WATDE0737	NA
WATDE0738	NA
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	132
WATDE0744	NA
WATDE0745	NA
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	NA
WATDE0752	NA
WATDE0754	NA
WATDE0755	122
WATDE0756	NA
WATDE0758	NA
WATDE0759	NA
WATDE0760	NA
WATDE0761	NA
WATDE0763	NA
WATDE0765	NA
WATDE0766	NA
WATDE0768	NA
WATDE0769	NA
WATDE0770	NA
WATDE0771	NA
WATDE0773	NA
WATDE0774	NA
WATDE0775	65
WATDE0776	131.5
WATDE0777	124
WATDE0779	NA
WATDE0780	NA
WATDE0781	129.5
WATDE0782	124
WATDE0783	137.5
WATDE0785	NA
WATDE0786	NA
WATDE0788	NA
WATDE0789	137.5
WATDE0790	116.5
WATDE0791	82
WATDE0793	NA
WATDE0794	NA
WATDE0795	NA
WATDE0797	NA
WATDE0798	NA
WATDE0800	NA
WATDE0802	NA
WATDE0803	163.5
WATDE0804	NA
WATDE0805	140
WATDE0807	NA
WATDE0808	64
WATDE0810	NA
WATDE0811	NA
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	197
WATDE0817	94.5
WATDE0818	NA
WATDE0819	160
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	103.5
WATDE0831	NA
WATDE0833	NA
WATDE0835	145
WATDE0836	156.5
WATDE0837	126
WATDE0839	180
WATDE0840	80.5
WATDE0841	189
WATDE0843	193
WATDE0845	NA
WATDE0846	NA
WATDE0848	158
WATDE0850	NA
WATDE0851	NA
WATDE0852	NA
WATDE0854	NA
WATDE0856	169.5
WATDE0857	NA
WATDE0859	111
WATDE0861	126
WATDE0862	76
WATDE0863	NA
WATDE0864	NA
WATDE0865	143.5
WATDE0869	143
WATDE0871	105
WATDE0872	97
WATDE0873	84.5
WATDE0874	129
WATDE0875	83
WATDE0876	126
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	136
WATDE0883	107
WATDE0884	NA
WATDE0887	NA
WATDE0888	133.5
WATDE0889	NA
WATDE0890	109.5
WATDE0892	NA
WATDE0894	NA
WATDE0895	120
WATDE0896	90.5
WATDE0898	NA
WATDE0899	NA
WATDE0900	NA
WATDE0901	NA
WATDE0902	NA
WATDE0903	NA
WATDE0904	NA
WATDE0905	NA
WATDE0906	NA
WATDE0907	NA
WATDE0909	NA
WATDE0910	NA
WATDE0911	NA
WATDE0912	83
WATDE0913	86.5
WATDE0914	NA
WATDE0915	58
WATDE0916	NA
WATDE0917	NA
WATDE0918	NA
WATDE0919	NA
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	NA
WATDE0926	NA
WATDE0927	NA
WATDE0928	NA
WATDE0929	108
WATDE0930	102
WATDE0932	NA
WATDE0933	NA
WATDE0934	91
WATDE0935	177
WATDE0937	96
WATDE0938	108.5
WATDE0939	NA
WATDE0941	187
WATDE0944	NA
WATDE0945	112.5
WATDE0947	120
WATDE0950	NA
WATDE0951	NA
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	79
WATDE0958	NA
WATDE0961	91.5
WATDE0963	NA
WATDE0965	NA
WATDE0966	NA
WATDE0967	74
WATDE0969	NA
WATDE0970	95.5
WATDE0971	148.5
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	120
WATDE0978	110.5
WATDE0979	NA
WATDE0981	166.5
WATDE0982	NA
WATDE0983	63
WATDE0984	NA
WATDE0986	NA
WATDE0987	55
WATDE0989	NA
WATDE0991	66
WATDE0993	114.5
WATDE0995	NA
WATDE0996	NA
WATDE0997	80
WATDE0999	82
WATDE1001	NA
WATDE1002	174
WATDE1003	179
WATDE1004	NA
WATDE1005	NA
WATDE1008	170
WATDE1009	NA
WATDE1010	NA
WATDE1012	NA
WATDE1014	172.5
WATDE1016	NA
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	86
WATDE1023	117
WATDE1025	NA
WATDE1026	105
WATDE1027	NA
WATDE1029	79.5
WATDE1031	NA
WATDE1032	NA
WATDE1034	NA
WATDE1035	137.5
WATDE1037	130
WATDE1038	146
WATDE1040	119.5
WATDE1042	NA
WATDE1044	192
WATDE1046	NA
WATDE1048	125
WATDE1049	NA
WATDE1050	NA
WATDE1051	106
WATDE1052	78.5
WATDE1053	NA
WATDE1055	51
WATDE1056	100
WATDE1058	170
WATDE1060	NA
WATDE1061	128
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
