IID	FT_Shenzhen-LN_2021_Natural
WATDE0652	NA
WATDE0653	133
WATDE0655	NA
WATDE0657	NA
WATDE0658	NA
WATDE0659	145
WATDE0660	104
WATDE0661	133
WATDE0662	NA
WATDE0663	NA
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	NA
WATDE0669	NA
WATDE0670	146
WATDE0671	NA
WATDE0672	NA
WATDE0674	NA
WATDE0675	NA
WATDE0676	NA
WATDE0678	NA
WATDE0679	139
WATDE0680	133
WATDE0682	NA
WATDE0683	NA
WATDE0685	NA
WATDE0686	130
WATDE0687	128
WATDE0688	NA
WATDE0689	145
WATDE0691	NA
WATDE0693	145
WATDE0694	157
WATDE0695	151
WATDE0697	145
WATDE0699	NA
WATDE0700	NA
WATDE0701	NA
WATDE0702	NA
WATDE0703	NA
WATDE0704	NA
WATDE0705	130
WATDE0706	107
WATDE0707	NA
WATDE0709	NA
WATDE0710	NA
WATDE0712	NA
WATDE0713	NA
WATDE0716	NA
WATDE0718	NA
WATDE0720	NA
WATDE0721	NA
WATDE0723	NA
WATDE0725	NA
WATDE0726	NA
WATDE0727	NA
WATDE0728	NA
WATDE0729	133
WATDE0730	NA
WATDE0732	NA
WATDE0735	133
WATDE0736	NA
WATDE0737	NA
WATDE0738	NA
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	NA
WATDE0747	NA
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	120.5
WATDE0752	NA
WATDE0754	NA
WATDE0755	NA
WATDE0756	133
WATDE0758	NA
WATDE0759	139
WATDE0760	NA
WATDE0761	108
WATDE0763	NA
WATDE0765	NA
WATDE0766	NA
WATDE0768	133
WATDE0769	145
WATDE0770	NA
WATDE0771	NA
WATDE0773	NA
WATDE0774	NA
WATDE0775	NA
WATDE0776	NA
WATDE0777	NA
WATDE0779	NA
WATDE0780	145
WATDE0781	NA
WATDE0782	NA
WATDE0783	154
WATDE0785	145
WATDE0786	NA
WATDE0788	NA
WATDE0789	139
WATDE0790	133
WATDE0791	145
WATDE0793	NA
WATDE0794	139
WATDE0795	133
WATDE0797	133
WATDE0798	NA
WATDE0800	133
WATDE0802	112
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	133
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	NA
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	104
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	116
WATDE0831	NA
WATDE0833	NA
WATDE0835	133
WATDE0836	133
WATDE0837	NA
WATDE0839	NA
WATDE0840	NA
WATDE0841	NA
WATDE0843	NA
WATDE0845	NA
WATDE0846	NA
WATDE0848	NA
WATDE0850	NA
WATDE0851	145
WATDE0852	NA
WATDE0854	83
WATDE0856	NA
WATDE0857	115
WATDE0859	104
WATDE0861	145
WATDE0862	133
WATDE0863	112
WATDE0864	NA
WATDE0865	139
WATDE0869	NA
WATDE0871	NA
WATDE0872	NA
WATDE0873	130
WATDE0874	NA
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	NA
WATDE0889	133
WATDE0890	151
WATDE0892	NA
WATDE0894	NA
WATDE0895	145
WATDE0896	NA
WATDE0898	NA
WATDE0899	130
WATDE0900	NA
WATDE0901	NA
WATDE0902	NA
WATDE0903	NA
WATDE0904	112
WATDE0905	115
WATDE0906	NA
WATDE0907	NA
WATDE0909	120.5
WATDE0910	83
WATDE0911	NA
WATDE0912	139
WATDE0913	NA
WATDE0914	NA
WATDE0915	130
WATDE0916	NA
WATDE0917	NA
WATDE0918	NA
WATDE0919	NA
WATDE0920	NA
WATDE0922	NA
WATDE0923	NA
WATDE0924	NA
WATDE0926	NA
WATDE0927	NA
WATDE0928	133
WATDE0929	NA
WATDE0930	157
WATDE0932	NA
WATDE0933	NA
WATDE0934	NA
WATDE0935	NA
WATDE0937	139
WATDE0938	NA
WATDE0939	108
WATDE0941	NA
WATDE0944	145
WATDE0945	157
WATDE0947	NA
WATDE0950	NA
WATDE0951	NA
WATDE0952	NA
WATDE0953	NA
WATDE0954	NA
WATDE0955	NA
WATDE0957	133
WATDE0958	NA
WATDE0961	NA
WATDE0963	145
WATDE0965	NA
WATDE0966	NA
WATDE0967	NA
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	NA
WATDE0981	NA
WATDE0982	NA
WATDE0983	156
WATDE0984	133
WATDE0986	NA
WATDE0987	NA
WATDE0989	130
WATDE0991	NA
WATDE0993	NA
WATDE0995	139
WATDE0996	130
WATDE0997	NA
WATDE0999	NA
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	145
WATDE1005	145
WATDE1008	NA
WATDE1009	145
WATDE1010	145
WATDE1012	NA
WATDE1014	NA
WATDE1016	128
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	NA
WATDE1027	NA
WATDE1029	NA
WATDE1031	169
WATDE1032	116
WATDE1034	NA
WATDE1035	116
WATDE1037	145
WATDE1038	93
WATDE1040	NA
WATDE1042	128
WATDE1044	NA
WATDE1046	112
WATDE1048	133
WATDE1049	133
WATDE1050	122.5
WATDE1051	120
WATDE1052	169
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	NA
WATDE1060	145
