ID,Accession,Run title,BioProject accession,Experiment accession,Run data file type,Read filename 1,Read file1 MD5,DownLoad Read file1,Read filename 2,Read file2 MD5,DownLoad Read file2,Index filename 1,Index file1 MD5,DownLoad Index file1,Index filename 2,Index file2 MD5,DownLoad Index file2,Reference file name,MD5 for reference file,Assembly Name or Accession,Assembly Accession URL,other_db,accession_in_other_db,other_db_url
41,CRR875605,Bersee-2,PRJCA019636,CRX791116,fastq,CRR875605_f1.fastq.gz (15526370575 bytes),c3ab136e2546099a8009fc3ddf4cc6b8,ftp://download.big.ac.cn/gsa/CRA012590/CRR875605/CRR875605_f1.fastq.gz,CRR875605_r2.fastq.gz (14879365170 bytes),768805a1e4ad164e62eb50e386658227,ftp://download.big.ac.cn/gsa/CRA012590/CRR875605/CRR875605_r2.fastq.gz,,,,,,,,,,,,,
42,CRR875606,Bersee-3,PRJCA019636,CRX791116,fastq,CRR875606_f1.fastq.gz (8218173373 bytes),abbec10c546ee08943ccd6a6fe0cb715,ftp://download.big.ac.cn/gsa/CRA012590/CRR875606/CRR875606_f1.fastq.gz,CRR875606_r2.fastq.gz (7905891844 bytes),703ea044257e7be49a2d28c4742dfc25,ftp://download.big.ac.cn/gsa/CRA012590/CRR875606/CRR875606_r2.fastq.gz,,,,,,,,,,,,,
43,CRR875607,Bersee-4,PRJCA019636,CRX791116,fastq,CRR875607_f1.fastq.gz (88640800582 bytes),426eff9a6d148569da335cd5242160a9,ftp://download.big.ac.cn/gsa/CRA012590/CRR875607/CRR875607_f1.fastq.gz,CRR875607_r2.fastq.gz (82842527473 bytes),ec80e6454684b468f40d505165295de8,ftp://download.big.ac.cn/gsa/CRA012590/CRR875607/CRR875607_r2.fastq.gz,,,,,,,,,,,,,
44,CRR875615,Boxer-1,PRJCA019636,CRX791117,fastq,CRR875615_f1.fastq.gz (10718994280 bytes),8ff69251b4d0bf0d25ba5e3f926c06e7,ftp://download.big.ac.cn/gsa/CRA012590/CRR875615/CRR875615_f1.fastq.gz,CRR875615_r2.fastq.gz (11483239202 bytes),62ef91c9e8cca96e97426fb35a2d9bb1,ftp://download.big.ac.cn/gsa/CRA012590/CRR875615/CRR875615_r2.fastq.gz,,,,,,,,,,,,,
45,CRR875616,Boxer-2,PRJCA019636,CRX791117,fastq,CRR875616_f1.fastq.gz (3352182531 bytes),1e1189f2216f22ec3f4072cf4fecc445,ftp://download.big.ac.cn/gsa/CRA012590/CRR875616/CRR875616_f1.fastq.gz,CRR875616_r2.fastq.gz (3257506801 bytes),a8c538026c263f898e0db8761e31b23c,ftp://download.big.ac.cn/gsa/CRA012590/CRR875616/CRR875616_r2.fastq.gz,,,,,,,,,,,,,
46,CRR875617,Boxer-3,PRJCA019636,CRX791117,fastq,CRR875617_f1.fastq.gz (1653319368 bytes),f433968b214bb8162263455abd77bebc,ftp://download.big.ac.cn/gsa/CRA012590/CRR875617/CRR875617_f1.fastq.gz,CRR875617_r2.fastq.gz (1606879284 bytes),922db1abf60aeb432ad5713394eb9086,ftp://download.big.ac.cn/gsa/CRA012590/CRR875617/CRR875617_r2.fastq.gz,,,,,,,,,,,,,
47,CRR875618,Boxer-4,PRJCA019636,CRX791117,fastq,CRR875618_f1.fastq.gz (54062230329 bytes),035d2989c7ec2971dd9f92e3ae7e9a28,ftp://download.big.ac.cn/gsa/CRA012590/CRR875618/CRR875618_f1.fastq.gz,CRR875618_r2.fastq.gz (51726823792 bytes),a2b18e3f4e5776e2a7459c9ab3d914d0,ftp://download.big.ac.cn/gsa/CRA012590/CRR875618/CRR875618_r2.fastq.gz,,,,,,,,,,,,,
48,CRR875619,Boxer-5,PRJCA019636,CRX791117,fastq,CRR875619_f1.fastq.gz (27587296851 bytes),e900426dbee8d330ac560d682cc4c703,ftp://download.big.ac.cn/gsa/CRA012590/CRR875619/CRR875619_f1.fastq.gz,CRR875619_r2.fastq.gz (26441496823 bytes),9d44172ee17f8b8e446424eaca39aae7,ftp://download.big.ac.cn/gsa/CRA012590/CRR875619/CRR875619_r2.fastq.gz,,,,,,,,,,,,,
49,CRR875620,Boxer-6,PRJCA019636,CRX791117,fastq,CRR875620_f1.fastq.gz (18891253240 bytes),e07f9bd11efb0ffd43c605293617738a,ftp://download.big.ac.cn/gsa/CRA012590/CRR875620/CRR875620_f1.fastq.gz,CRR875620_r2.fastq.gz (20292997546 bytes),ea46f686439ec459ba675f5f829602a3,ftp://download.big.ac.cn/gsa/CRA012590/CRR875620/CRR875620_r2.fastq.gz,,,,,,,,,,,,,
50,CRR875629,Capitaine-1,PRJCA019636,CRX791118,fastq,CRR875629_f1.fastq.gz (30343279539 bytes),6f5745d8a0d49bedc10f8285f04eb63b,ftp://download.big.ac.cn/gsa/CRA012590/CRR875629/CRR875629_f1.fastq.gz,CRR875629_r2.fastq.gz (29330204006 bytes),cc5522f3440ce07391cf8d75bf377bdf,ftp://download.big.ac.cn/gsa/CRA012590/CRR875629/CRR875629_r2.fastq.gz,,,,,,,,,,,,,
