IID	SplN_Kaifeng-GH_2020_Natural
WATDE0791	18.00
WATDE0793	18.00
WATDE0794	20.00
WATDE0795	21.33
WATDE0797	21.11
WATDE0798	20.00
WATDE0800	19.00
WATDE0802	23.00
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	NA
WATDE0810	NA
WATDE0811	19.78
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	21.33
WATDE0817	NA
WATDE0818	19.00
WATDE0819	NA
WATDE0821	NA
WATDE0823	24.00
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	22.00
WATDE0831	NA
WATDE0833	NA
WATDE0835	15.00
WATDE0836	14.89
WATDE0837	12.00
WATDE0839	16.00
WATDE0840	NA
WATDE0841	16.50
WATDE0843	NA
WATDE0845	NA
WATDE0846	24.00
WATDE0848	25.00
WATDE0850	24.00
WATDE0851	24.00
WATDE0852	21.00
WATDE0854	20.33
WATDE0856	NA
WATDE0857	17.43
WATDE0859	18.86
WATDE0861	17.78
WATDE0862	21.00
WATDE0863	20.44
WATDE0864	22.00
WATDE0865	25.33
WATDE0869	19.00
WATDE0871	27.67
WATDE0872	23.00
WATDE0873	34.00
WATDE0874	26.00
WATDE0875	NA
WATDE0876	25.00
WATDE0877	NA
WATDE0878	22.33
WATDE0879	21.67
WATDE0880	18.33
WATDE0881	18.33
WATDE0882	NA
WATDE0883	NA
WATDE0884	21.33
WATDE0887	26.67
WATDE0888	18.22
WATDE0889	18.78
WATDE0890	NA
WATDE0892	NA
WATDE0894	18.33
WATDE0895	NA
WATDE0896	NA
WATDE0898	NA
WATDE0899	20.00
WATDE0900	NA
WATDE0901	21.00
WATDE0902	23.00
WATDE0903	NA
WATDE0904	17.00
WATDE0905	20.00
WATDE0906	16.00
WATDE0907	18.00
WATDE0909	22.00
WATDE0910	20.00
WATDE0911	NA
WATDE0912	NA
WATDE0913	22.33
WATDE0914	NA
WATDE0915	NA
WATDE0916	25.00
WATDE0917	18.00
WATDE0918	25.50
WATDE0919	19.89
WATDE0920	23.00
WATDE0922	16.00
WATDE0923	20.00
WATDE0924	24.89
WATDE0926	23.00
WATDE0927	21.00
WATDE0928	23.67
WATDE0929	22.00
WATDE0930	22.50
WATDE0932	23.33
WATDE0933	25.00
WATDE0934	20.00
WATDE0935	NA
WATDE0937	24.00
WATDE0938	21.67
WATDE0939	20.33
WATDE0941	22.33
WATDE0944	21.78
WATDE0945	26.33
WATDE0947	NA
WATDE0950	NA
WATDE0951	25.00
WATDE0952	NA
WATDE0953	24.00
WATDE0954	NA
WATDE0955	NA
WATDE0957	NA
WATDE0958	16.50
WATDE0961	27.33
WATDE0963	24.89
WATDE0965	20.00
WATDE0966	27.00
WATDE0967	27.00
WATDE0969	19.25
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	22.33
WATDE0979	23.00
WATDE0981	23.67
WATDE0982	NA
WATDE0983	23.00
WATDE0984	17.75
WATDE0986	17.00
WATDE0987	22.00
WATDE0989	18.00
WATDE0991	20.00
WATDE0993	20.00
WATDE0995	22.11
WATDE0996	NA
WATDE0997	27.33
WATDE0999	19.75
WATDE1001	31.67
WATDE1002	24.00
WATDE1003	18.00
WATDE1004	26.00
WATDE1005	22.00
WATDE1008	NA
WATDE1009	22.86
WATDE1010	29.33
WATDE1012	22.00
WATDE1014	20.67
WATDE1016	23.67
WATDE1017	21.50
WATDE1018	24.00
WATDE1019	NA
WATDE1021	28.00
WATDE1023	25.00
WATDE1025	20.00
WATDE1026	16.78
WATDE1027	22.00
WATDE1029	NA
WATDE1031	27.33
WATDE1032	18.33
WATDE1034	NA
WATDE1035	22.00
WATDE1037	25.33
WATDE1038	18.80
WATDE1040	19.33
WATDE1042	22.00
WATDE1044	22.00
WATDE1046	18.89
WATDE1048	21.00
WATDE1049	27.00
WATDE1050	NA
WATDE1051	21.00
WATDE1052	29.00
WATDE1053	NA
WATDE1055	36.00
WATDE1056	29.50
WATDE1058	27.67
WATDE1060	24.00
WATDE1061	19.00
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
