IID	GSurfA_Quzhou_2022_Natural
WATDE1031	16.38
WATDE1032	16.75
WATDE1034	16.87
WATDE1035	15.49
WATDE1037	14.03
WATDE1038	15.43
WATDE1040	15.38
WATDE1042	18.49
WATDE1044	12.79
WATDE1046	13.77
WATDE1048	14.13
WATDE1049	12.96
WATDE1050	12.75
WATDE1051	15.54
WATDE1052	17.24
WATDE1053	14.26
WATDE1055	17.53
WATDE1056	12.63
WATDE1058	12.59
WATDE1060	15.85
WATDE1061	16.15
WATDE1062	16.03
Walde	NA
Warrior	NA
Waxwing	17.525
Werla	NA
Wizard	17.818
Wyalkatatchen	17.673
Xi19	NA
Zemon	16.253
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	19.255
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	18.251
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	14.475
wasp	NA
weebil	NA
