IID	SplN_Shenzhen_2022_Natural_Sterility-All
WATDE0874	NA
WATDE0875	NA
WATDE0876	1.00
WATDE0877	4.00
WATDE0878	NA
WATDE0879	NA
WATDE0880	NA
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	NA
WATDE0888	NA
WATDE0889	7.33
WATDE0890	5.67
WATDE0892	4.67
WATDE0894	NA
WATDE0895	NA
WATDE0896	5.67
WATDE0898	NA
WATDE0899	3.33
WATDE0900	NA
WATDE0901	2.33
WATDE0902	4.33
WATDE0903	NA
WATDE0904	1.00
WATDE0905	1.33
WATDE0906	14.00
WATDE0907	5.33
WATDE0909	1.33
WATDE0910	0.33
WATDE0911	NA
WATDE0912	4.67
WATDE0913	5.00
WATDE0914	NA
WATDE0915	5.67
WATDE0916	2.67
WATDE0917	2.00
WATDE0918	NA
WATDE0919	10.00
WATDE0920	NA
WATDE0922	3.67
WATDE0923	0.33
WATDE0924	4.33
WATDE0926	6.33
WATDE0927	4.00
WATDE0928	4.67
WATDE0929	8.00
WATDE0930	NA
WATDE0932	NA
WATDE0933	9.33
WATDE0934	5.00
WATDE0935	6.33
WATDE0937	6.67
WATDE0938	3.67
WATDE0939	NA
WATDE0941	NA
WATDE0944	5.00
WATDE0945	7.00
WATDE0947	11.67
WATDE0950	5.00
WATDE0951	7.67
WATDE0952	9.33
WATDE0953	NA
WATDE0954	5.33
WATDE0955	NA
WATDE0957	7.33
WATDE0958	NA
WATDE0961	NA
WATDE0963	6.00
WATDE0965	NA
WATDE0966	6.00
WATDE0967	NA
WATDE0969	NA
WATDE0970	6.00
WATDE0971	7.00
WATDE0973	NA
WATDE0974	10.00
WATDE0975	NA
WATDE0977	7.67
WATDE0978	5.33
WATDE0979	4.67
WATDE0981	5.00
WATDE0982	5.33
WATDE0983	6.67
WATDE0984	1.67
WATDE0986	7.00
WATDE0987	7.00
WATDE0989	8.00
WATDE0991	8.33
WATDE0993	3.33
WATDE0995	8.00
WATDE0996	2.67
WATDE0997	NA
WATDE0999	12.33
WATDE1001	NA
WATDE1002	NA
WATDE1003	NA
WATDE1004	6.00
WATDE1005	4.33
WATDE1008	NA
WATDE1009	7.00
WATDE1010	4.00
WATDE1012	NA
WATDE1014	NA
WATDE1016	NA
WATDE1017	NA
WATDE1018	5.67
WATDE1019	8.33
WATDE1021	NA
WATDE1023	NA
WATDE1025	NA
WATDE1026	4.00
WATDE1027	NA
WATDE1029	3.00
WATDE1031	10.33
WATDE1032	10.00
WATDE1034	7.67
WATDE1035	5.33
WATDE1037	5.67
WATDE1038	3.33
WATDE1040	NA
WATDE1042	NA
WATDE1044	NA
WATDE1046	3.67
WATDE1048	4.67
WATDE1049	6.00
WATDE1050	8.00
WATDE1051	11.33
WATDE1052	NA
WATDE1053	NA
WATDE1055	2.00
WATDE1056	NA
WATDE1058	NA
WATDE1060	5.67
WATDE1061	4.33
WATDE1062	6.00
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	NA
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
