IID	Mat_Shenzhen_2022_Natural_50percnet
WATDE0541	131
WATDE0542	NA
WATDE0543	NA
WATDE0544	185
WATDE0546	NA
WATDE0547	172
WATDE0549	154
WATDE0550	186
WATDE0552	174
WATDE0553	172
WATDE0555	157
WATDE0556	151
WATDE0557	185
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	181
WATDE0563	172
WATDE0565	151
WATDE0566	NA
WATDE0567	171
WATDE0568	174
WATDE0569	139
WATDE0570	NA
WATDE0571	145
WATDE0572	172
WATDE0574	172
WATDE0577	145
WATDE0578	183
WATDE0579	144
WATDE0581	153
WATDE0582	NA
WATDE0585	161
WATDE0586	NA
WATDE0588	162
WATDE0589	188
WATDE0591	NA
WATDE0592	NA
WATDE0594	173
WATDE0596	171
WATDE0597	151
WATDE0598	157
WATDE0599	NA
WATDE0600	151
WATDE0601	NA
WATDE0602	170
WATDE0603	172
WATDE0604	152
WATDE0606	150
WATDE0608	173
WATDE0609	184
WATDE0610	168
WATDE0611	153
WATDE0613	159
WATDE0614	152
WATDE0615	147
WATDE0616	161
WATDE0617	143
WATDE0618	NA
WATDE0620	172
WATDE0622	NA
WATDE0624	NA
WATDE0626	147
WATDE0627	NA
WATDE0628	164
WATDE0630	161
WATDE0631	164
WATDE0632	191
WATDE0634	172
WATDE0635	170
WATDE0636	186
WATDE0638	186
WATDE0639	172
WATDE0640	172
WATDE0641	NA
WATDE0643	172
WATDE0644	NA
WATDE0646	154
WATDE0648	169
WATDE0649	164
WATDE0650	173
WATDE0651	144
WATDE0652	169
WATDE0653	154
WATDE0655	143
WATDE0657	172
WATDE0658	186
WATDE0659	147
WATDE0660	183
WATDE0661	163
WATDE0662	183
WATDE0663	143
WATDE0664	182
WATDE0665	172
WATDE0666	NA
WATDE0667	NA
WATDE0669	188
WATDE0670	185
WATDE0671	187
WATDE0672	173
WATDE0674	168
WATDE0675	173
WATDE0676	173
WATDE0678	158
WATDE0679	157
WATDE0680	153
WATDE0682	146
WATDE0683	150
WATDE0685	147
WATDE0686	170
WATDE0687	174
WATDE0688	183
WATDE0689	171
WATDE0691	102
WATDE0693	172
WATDE0694	162
WATDE0695	164
WATDE0697	170
WATDE0699	NA
WATDE0700	158
WATDE0701	168
WATDE0702	145
WATDE0703	172
WATDE0704	115
WATDE0705	160
WATDE0706	150
WATDE0707	161
WATDE0709	153
WATDE0710	NA
WATDE0712	144
WATDE0713	184
WATDE0716	NA
WATDE0718	164
WATDE0720	182
WATDE0721	181
WATDE0723	162
WATDE0725	167
WATDE0726	185
WATDE0727	NA
WATDE0728	171
WATDE0729	153
WATDE0730	171
WATDE0732	155
WATDE0735	153
WATDE0736	152
WATDE0737	162
WATDE0738	161
WATDE0739	174
WATDE0740	NA
WATDE0742	NA
WATDE0743	181
WATDE0744	NA
WATDE0745	150
WATDE0747	143
WATDE0748	NA
WATDE0749	181
WATDE0750	NA
WATDE0751	161
WATDE0752	168
WATDE0754	153
WATDE0755	171
WATDE0756	157
WATDE0758	172
WATDE0759	171
WATDE0760	150
WATDE0761	146
WATDE0763	157
WATDE0765	148
WATDE0766	151
WATDE0768	145
WATDE0769	163
WATDE0770	150
WATDE0771	147
WATDE0773	162
WATDE0774	169
WATDE0775	171
WATDE0776	168
WATDE0777	182
WATDE0779	NA
WATDE0780	169
WATDE0781	174
WATDE0782	168
WATDE0783	172
WATDE0785	168
WATDE0786	183
WATDE0788	131
WATDE0789	153
WATDE0790	153
WATDE0791	153
WATDE0793	155
WATDE0794	144
WATDE0795	143
